"submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","consent_cases.boolean","consent_deaths.boolean","season"
2021-12-01,"ND",163565,135705,27860,589,220,1907,NA,NA,9,0,2021-12-02,"Agree","Not agree",TRUE,FALSE,"fall"
2020-08-17,"MD",100715,NA,NA,503,0,3765,3616,149,3,0,2020-08-19,"N/A","Agree",NA,TRUE,"summer"
2021-07-20,"MD",464491,NA,NA,155,0,9822,9604,218,3,1,2021-07-22,"N/A","Agree",NA,TRUE,"summer"
2020-05-13,"VT",855,NA,NA,2,0,52,NA,NA,0,0,2020-05-15,"Not agree","Not agree",FALSE,FALSE,"spring"
2021-01-21,"NC",706315,632991,73324,7113,1040,10066,9048,1018,113,22,2021-01-21,"Agree","Agree",TRUE,TRUE,"winter"
2021-03-11,"WA",346788,NA,NA,674,89,5107,NA,NA,7,0,2021-03-13,"N/A","N/A",NA,NA,"winter"
2021-08-30,"AL",695879,532931,162948,5166,1551,13302,10425,2877,57,19,2021-09-01,"Agree","Agree",TRUE,TRUE,"summer"
2021-09-19,"DE",128253,117969,10284,450,36,1920,1756,164,0,0,2021-09-20,"Agree","Agree",TRUE,TRUE,"summer"
2020-06-15,"WI",25480,22932,2548,185,11,700,694,6,2,0,2020-06-16,"Agree","Agree",TRUE,TRUE,"spring"
2021-12-25,"MS",525502,299857,225645,0,0,10393,6958,3435,0,0,2021-12-27,"Agree","Agree",TRUE,TRUE,"winter"
2021-05-15,"NV",320719,320719,0,180,0,5530,NA,NA,0,0,2021-05-16,"Agree","",TRUE,NA,"spring"
2020-07-06,"NC",74726,74639,87,1424,2,1540,1540,0,19,0,2020-07-06,"Agree","Agree",TRUE,TRUE,"summer"
2020-05-16,"MI",81494,75840,5654,702,79,5444,5150,294,31,0,2020-05-17,"Agree","Agree",TRUE,TRUE,"spring"
2022-01-27,"DE",244730,223336,21394,1528,208,2494,2286,208,1,0,2022-01-28,"Agree","Agree",TRUE,TRUE,"winter"
2020-02-02,"GU",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2021-04-01,"MI",805607,725178,80429,6669,873,17332,16289,1043,27,2,2021-04-02,"Agree","Agree",TRUE,TRUE,"spring"
2020-05-15,"CT",36085,34059,2026,621,-11,3285,2524,761,66,8,2020-05-16,"Agree","Agree",TRUE,TRUE,"spring"
2022-01-30,"MI",2235180,1959371,275809,0,0,32197,29778,2419,0,0,2022-01-31,"Agree","Agree",TRUE,TRUE,"winter"
2020-08-22,"IN",85317,NA,NA,1000,0,3205,2995,210,10,1,2020-08-22,"Not agree","Agree",FALSE,TRUE,"summer"
2021-12-20,"MD",621983,NA,NA,1184,0,11553,11320,233,20,0,2021-12-22,"N/A","Agree",NA,TRUE,"fall"
2021-06-09,"ND",110351,101268,9083,53,16,1517,NA,NA,0,0,2021-06-10,"Agree","Not agree",TRUE,FALSE,"spring"
2020-05-11,"CT",33765,31955,1810,211,-30,3008,2294,714,41,-10,2020-05-12,"Agree","Agree",TRUE,TRUE,"spring"
2020-03-27,"IN",981,NA,NA,336,0,0,0,0,0,0,2020-03-27,"Not agree","Agree",FALSE,TRUE,"spring"
2022-03-05,"AL",1286678,927136,359542,185,35,18763,14423,4340,1,0,2022-03-07,"Agree","Agree",TRUE,TRUE,"winter"
2020-11-05,"MO",226051,NA,NA,5996,480,3700,NA,NA,44,0,2020-11-07,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-01-15,"NE",181548,NA,NA,771,0,1818,NA,NA,0,0,2021-01-17,"Not agree","Not agree",FALSE,FALSE,"winter"
2022-02-11,"IL",2987502,2987502,0,0,0,35725,31795,3930,0,0,2022-02-12,"Agree","Agree",TRUE,TRUE,"winter"
2020-03-20,"MD",149,NA,NA,42,0,2,2,0,0,0,2020-03-22,"N/A","Agree",NA,TRUE,"spring"
2022-02-19,"DE",254946,232537,22409,227,11,2695,2459,236,35,11,2022-02-21,"Agree","Agree",TRUE,TRUE,"winter"
2021-03-31,"ND",103299,96726,6573,208,49,1466,NA,NA,0,0,2021-04-01,"Agree","Not agree",TRUE,FALSE,"spring"
2020-03-09,"WI",1,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-05-01,"IL",1337868,1337868,0,2813,0,24330,21992,2338,39,7,2021-05-02,"Agree","Agree",TRUE,TRUE,"spring"
2020-02-24,"ND",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Not agree",TRUE,FALSE,"winter"
2020-05-18,"NV",6921,6906,15,49,0,379,NA,NA,14,0,2020-05-19,"Agree","",TRUE,NA,"spring"
2020-10-19,"MO",171619,NA,NA,2839,202,3076,NA,NA,34,0,2020-10-21,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-10-23,"NV",445677,434898,10779,0,0,7523,NA,NA,0,0,2021-10-25,"Agree","",TRUE,NA,"fall"
2021-09-23,"AL",780365,588077,192288,2581,832,14940,11636,3304,48,11,2021-09-25,"Agree","Agree",TRUE,TRUE,"fall"
2020-11-20,"MO",301639,NA,NA,4871,576,4467,NA,NA,59,0,2020-11-22,"Not agree","Not agree",FALSE,FALSE,"fall"
2020-04-02,"MT",244,NA,NA,16,NA,5,NA,NA,0,NA,2020-04-01,"Agree","Agree",TRUE,TRUE,"spring"
2021-07-09,"MO",631603,NA,NA,1639,472,9387,NA,NA,4,0,2021-07-10,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-09-11,"ID",34950,32228,2722,333,48,412,375,37,5,0,2020-09-12,"Agree","Agree",TRUE,TRUE,"summer"
2022-03-04,"CT",724833,649380,75453,432,88,10543,8626,1917,28,8,2022-03-05,"Agree","Agree",TRUE,TRUE,"winter"
2020-08-23,"IL",221595,220178,1417,1893,0,8089,7880,209,6,0,2020-08-24,"Agree","Agree",TRUE,TRUE,"summer"
